[17:34:48]:Start Listening.


[17:35:56]:Start Listening.


[17:38:08]:Start Listening.
30,30,03,30,03,FB
29,29,03,29,03,FB
28,28,03,28,03,FB
27,27,03,27,03,FB
26,26,03,26,03,FB
25,25,03,25,03,FB
24,24,03,24,03,FB
23,23,03,23,03,FB
22,22,03,22,03,FB
21,21,03,21,03,FB
20,20,03,20,03,FB
19,19,03,19,03,FB
18,18,03,18,03,FB
17,17,03,17,03,FB
16,16,03,16,03,FB
15,15,03,15,03,FB
14,14,03,14,03,FB
13,13,03,13,03,FB
12,12,03,12,03,FB
11,11,03,11,03,FB
10,10,03,10,03,FB
09,09,03,09,03,FB
08,08,03,08,03,FB
07,07,03,07,03,FB
06,06,03,06,03,FB
05,05,03,05,03,FB
04,04,03,04,03,FB
03,03,03,03,03,FB
02,02,03,02,03,FB
01,01,03,01,03,FB
00,00,03,00,03,FB
30,30,03,30,03,FB
30,30,03,30,03,FB
29,29,03,29,03,FB
28,28,03,28,03,FB
27,27,03,27,03,FB
26,26,03,26,03,FB
25,25,03,25,03,FB
24,24,03,24,03,FB
23,23,03,23,03,FB
22,22,03,22,03,FB
21,21,03,21,03,FB
20,20,03,20,03,FB
19,19,03,19,03,FB
18,18,03,18,03,FB
17,17,03,17,03,FB
16,16,03,16,03,FB
30,30,03,30,03,FB
30,30,03,30,03,FB
30,30,03,30,03,FB
29,29,03,29,03,FB
28,28,03,28,03,FB
27,27,03,27,03,FB
26,26,03,26,03,FB
25,25,03,25,03,FB
24,24,03,24,03,FB
23,23,03,23,03,FB
22,22,03,22,03,FB
21,21,03,21,03,FB
20,20,03,20,03,FB
19,19,03,19,03,FB
30,30,03,30,03,FB
30,30,03,30,03,FB
30,30,03,30,03,FB
29,29,03,29,03,FB
28,28,03,28,03,FB
27,27,03,27,03,FB
26,26,03,26,03,FB
25,25,03,25,03,FB
24,24,03,24,03,FB
23,23,03,23,03,FB
22,22,03,22,03,FB
21,21,03,21,03,FB
20,20,03,20,03,FB
19,19,03,19,03,FB
18,18,03,18,03,FB
17,17,03,17,03,FB
16,16,03,16,03,FB
15,15,03,15,03,FB
14,14,03,14,03,FB
13,13,03,13,03,FB
12,12,03,12,03,FB
11,11,03,11,03,FB
10,10,03,10,03,FB
09,09,03,09,03,FB
08,08,03,08,03,FB
07,07,03,07,03,FB
06,06,03,06,03,FB
05,05,03,05,03,FB
04,04,03,04,03,FB
03,03,03,03,03,FB
30,30,03,30,03,FB
30,30,03,30,03,FB
29,29,03,29,03,FB


[17:38:09]:Start Listening.
30,30,03,30,03,FB
29,29,03,29,03,FB
28,28,03,28,03,FB
27,27,03,27,03,FB
26,26,03,26,03,FB
25,25,03,25,03,FB
24,24,03,24,03,FB
23,23,03,23,03,FB
22,22,03,22,03,FB
21,21,03,21,03,FB
20,20,03,20,03,FB
19,19,03,19,03,FB
18,18,03,18,03,FB
17,17,03,17,03,FB
16,16,03,16,03,FB
15,15,03,15,03,FB
14,14,03,14,03,FB
13,13,03,13,03,FB
12,12,03,12,03,FB
11,11,03,11,03,FB
10,10,03,10,03,FB
09,09,03,09,03,FB
08,08,03,08,03,FB
07,07,03,07,03,FB
06,06,03,06,03,FB
05,05,03,05,03,FB
04,04,03,04,03,FB
03,03,03,03,03,FB
02,02,03,02,03,FB
